date,D-Day,D+1,D+2
00-03UT,1.00,3.67,3.00
03-06UT,3.33,2.67,3.00
06-09UT,1.33,2.33,2.33
09-12UT,1.33,2.33,2.00
12-15UT,3.33,2.33,1.67
15-18UT,3.67,2.00,1.33
18-21UT,2.67,2.67,2.33
21-00UT,2.67,2.67,2.67
