date,D-Day,D+1,D+2
00-03UT,2.67,2.67,5.00
03-06UT,1.67,2.33,4.33
06-09UT,3.00,2.67,4.00
09-12UT,2.67,3.00,3.33
12-15UT,2.33,4.00,4.33
15-18UT,2.67,2.67,2.67
18-21UT,2.33,4.33,2.00
21-00UT,2.33,4.00,3.33
