date,D-Day,D+1,D+2
00-03UT,3.67,4.00,2.00
03-06UT,4.33,4.67,2.00
06-09UT,3.00,3.67,1.67
09-12UT,2.67,3.00,1.67
12-15UT,2.33,3.00,1.33
15-18UT,2.00,2.67,2.00
18-21UT,2.67,2.00,2.00
21-00UT,2.67,2.33,2.33
