date,D-Day,D+1,D+2
00-03UT,1.00,2.00,3.00
03-06UT,1.33,2.00,2.33
06-09UT,1.33,2.33,2.67
09-12UT,2.67,2.33,2.00
12-15UT,1.67,2.33,1.33
15-18UT,1.33,2.33,1.67
18-21UT,1.33,2.67,1.67
21-00UT,1.33,3.00,2.00
