date,D-Day,D+1,D+2
00-03UT,1.00,2.00,1.67
03-06UT,2.00,3.00,1.67
06-09UT,0.33,2.67,1.67
09-12UT,0.67,2.33,1.33
12-15UT,2.67,1.33,1.33
15-18UT,2.67,1.00,1.33
18-21UT,3.33,1.67,1.33
21-00UT,3.67,2.00,1.33
