date,D-Day,D+1,D+2
00-03UT,0.67,1.67,2.33
03-06UT,1.67,1.33,2.00
06-09UT,1.33,1.33,2.00
09-12UT,1.67,1.33,2.00
12-15UT,1.00,1.33,2.33
15-18UT,0.67,1.33,2.00
18-21UT,1.67,1.67,2.00
21-00UT,2.67,1.67,2.00
