date,D-Day,D+1,D+2
00-03UT,1.67,2.67,2.00
03-06UT,2.67,2.00,2.00
06-09UT,1.33,1.67,2.33
09-12UT,1.00,3.00,2.33
12-15UT,2.33,2.00,2.33
15-18UT,3.00,2.33,2.67
18-21UT,2.33,1.67,2.00
21-00UT,2.67,1.00,1.33
