date,D-Day,D+1,D+2
00-03UT,3.00,2.33,2.67
03-06UT,1.33,1.33,3.00
06-09UT,1.33,1.00,2.67
09-12UT,2.33,1.00,2.67
12-15UT,1.33,2.33,2.33
15-18UT,1.33,2.33,2.67
18-21UT,1.67,2.67,3.67
21-00UT,1.67,2.67,3.67
