date,D-Day,D+1,D+2
00-03UT,3.33,1.67,3.00
03-06UT,2.33,1.33,2.00
06-09UT,1.00,1.33,2.00
09-12UT,1.33,1.33,3.67
12-15UT,2.33,1.33,2.67
15-18UT,2.00,1.33,2.67
18-21UT,2.00,1.67,2.67
21-00UT,2.00,1.67,2.67
