date,D-Day,D+1,D+2
00-03UT,2.00,2.67,4.00
03-06UT,1.33,4.00,2.67
06-09UT,2.00,4.00,2.67
09-12UT,1.00,3.00,2.33
12-15UT,1.67,2.67,2.00
15-18UT,1.67,2.00,2.00
18-21UT,1.67,2.00,2.33
21-00UT,2.67,2.67,3.00
