date,D-Day,D+1,D+2
00-03UT,3.00,3.67,3.33
03-06UT,2.00,4.67,3.67
06-09UT,1.00,5.00,3.33
09-12UT,2.67,4.67,3.33
12-15UT,4.00,3.67,3.00
15-18UT,3.00,3.00,2.67
18-21UT,3.33,1.67,2.67
21-00UT,4.33,2.00,1.33
