date,D-Day,D+1,D+2
00-03UT,2.33,2.67,4.00
03-06UT,2.00,3.00,3.67
06-09UT,2.00,2.00,3.33
09-12UT,1.67,2.00,2.67
12-15UT,2.00,3.00,2.00
15-18UT,2.00,3.33,2.00
18-21UT,2.33,3.67,2.67
21-00UT,3.00,4.00,3.00
