date,D-Day,D+1,D+2
00-03UT,2.67,3.67,1.67
03-06UT,1.00,2.67,2.00
06-09UT,1.00,2.67,1.67
09-12UT,1.33,2.00,1.67
12-15UT,2.33,1.67,1.33
15-18UT,2.67,1.67,1.00
18-21UT,3.00,1.67,1.00
21-00UT,3.67,2.67,1.33
