date,D-Day,D+1,D+2
00-03UT,2.00,2.33,2.33
03-06UT,1.67,2.67,3.00
06-09UT,1.67,2.33,2.00
09-12UT,1.67,2.33,2.00
12-15UT,3.67,2.00,1.67
15-18UT,2.33,2.00,2.00
18-21UT,3.00,2.00,2.00
21-00UT,3.67,1.67,2.33
