date,D-Day,D+1,D+2
00-03UT,1.67,3.67,1.67
03-06UT,2.33,3.00,1.67
06-09UT,1.67,2.33,1.33
09-12UT,2.33,2.33,1.33
12-15UT,2.33,1.67,1.33
15-18UT,2.67,2.00,1.33
18-21UT,3.33,1.00,1.33
21-00UT,3.67,2.33,1.67
